FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・自動車交通量,上り・小型交通量,上り・大型交通量,上り・小型大型判別不能交通量,下り・自動車交通量,下り・小型交通量,下り・大型交通量,下り・小型大型判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,道路種別,時間コード,lat,lng,lng2,lat2,color
t_travospublic_measure_5m_img.25653764.202505212350,81,02,1810010,1,20250521,2350,3,1,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,202505212350,41.996809040234545,140.63609,,,blue
t_travospublic_measure_5m_img.25653765.202505212350,81,02,1810020,1,20250521,2350,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505212350,42.079752040271956,140.596961,,,blue
t_travospublic_measure_5m_img.25653766.202505212350,81,02,1810030,1,20250521,2350,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505212350,42.18194404031664,140.438889,,,blue
t_travospublic_measure_5m_img.25653767.202505212350,81,02,1810040,1,20250521,2350,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505212350,42.21583304033111,140.385,,,blue
t_travospublic_measure_5m_img.25653768.202505212350,81,02,1810050,1,20250521,2350,,,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202505212350,42.29972204036625,140.271667,,,blue
t_travospublic_measure_5m_img.25653769.202505212350,81,03,1810060,1,20250521,2350,,,,,,,,,1,,,,,,,,,,3,202505212350,42.70250004052043,140.42222,,,blue
t_travospublic_measure_5m_img.25653770.202505212350,81,03,1810070,1,20250521,2350,,,,,,,,,1,,,,,,,,,,3,202505212350,42.805277040555936,140.52666,,,blue
t_travospublic_measure_5m_img.25653771.202505212350,81,03,1810080,1,20250521,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202505212350,42.79952604055398,140.700552,,,blue
t_travospublic_measure_5m_img.25653772.202505212350,81,03,1810100,1,20250521,2350,,,,,,,,,1,,,,,,,,,,3,202505212350,43.037777040630445,140.678611,,,blue
t_travospublic_measure_5m_img.25653773.202505212350,81,03,1810110,1,20250521,2350,6,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202505212350,43.20720804067966,140.975798,,,blue
