地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,道路種別,時間コード,lat,lng,lng2,lat2
81,02,1810010,1,20250607,2345,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,41.996809040234545,140.63609,,
81,02,1810020,1,20250607,2345,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202506072345,42.079752040271956,140.596961,,
81,02,1810030,1,20250607,2345,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202506072345,42.18194404031664,140.438889,,
81,02,1810040,1,20250607,2345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,42.21583304033111,140.385,,
81,02,1810050,1,20250607,2345,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202506072345,42.29972204036625,140.271667,,
81,03,1810060,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,42.70250004052043,140.42222,,
81,03,1810070,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,42.805277040555936,140.52666,,
81,03,1810080,1,20250607,2345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,42.79952604055398,140.700552,,
81,03,1810100,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,43.037777040630445,140.678611,,
81,03,1810110,1,20250607,2345,13,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,43.20720804067966,140.975798,,
81,03,1810120,1,20250607,2345,14,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,43.177556040671355,141.041001,,
81,02,1810130,1,20250607,2345,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,41.881664040180986,140.72083,,
81,02,1810140,1,20250607,2345,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,41.922053040199984,140.673037,,
81,01,1810160,1,20250607,2345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,43.575214040771755,141.936064,,
81,04,1810180,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,43.75527804080939,142.273889,,
81,01,1810200,1,20250607,2345,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,42.92800104059627,141.532244,,
81,01,1810210,1,20250607,2345,14,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,42.86212604057491,141.599922,,
81,05,1810220,1,20250607,2345,10,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,42.736385040532305,141.709144,,
81,05,1810240,1,20250607,2345,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,42.44474904042452,141.159993,,
81,05,1810250,1,20250607,2345,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,42.32896604037825,140.996368,,
81,02,1810260,1,20250607,2345,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202506072345,42.59861104048294,140.461667,,
81,05,1810270,1,20250607,2345,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,42.59319704048096,140.520753,,
81,05,1810280,1,20250607,2345,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202506072345,42.59372804048115,140.535945,,
81,05,1810290,1,20250607,2345,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,42.56267604046962,140.742626,,
81,01,1810310,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,43.57408404077149,141.983838,,
81,01,1810320,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,43.47080004074768,142.266721,,
81,04,1810330,1,20250607,2345,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,43.39305604072871,142.348056,,
81,04,1810340,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,43.27194404069734,142.385,,
81,04,1810350,1,20250607,2345,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,43.197222040676884,142.575556,,
81,07,1810360,1,20250607,2345,,,,,,,0,0,0,0,0,0,0,0,0,1,3,202506072345,43.15732804066562,142.786759,,
81,07,1810370,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,42.814306040558975,143.51125,,
81,07,1810380,1,20250607,2345,,,,,,,1,0,0,0,0,0,0,0,0,0,3,202506072345,42.82106404056124,143.710554,,
81,06,1810390,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,42.86448904057567,143.874907,,
81,06,1810400,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,43.00508004062045,144.254672,,
81,06,1810410,1,20250607,2345,,,,,,,1,,,,,,,,,,3,202506072345,43.0195510406249,144.257695,,
81,06,1810420,1,20250607,2345,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,43.00768404062126,144.364725,,
81,04,1810430,1,20250607,2345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202506072345,43.89527804083526,142.525556,,
