地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー
87,,7110100,1,20250628,1705,16,1,0,0,0,0,0,7,1,0,0,0,0,0,3,202506281705,35.525440034486614,134.401402,,,,,,,,,,,,
87,,7110120,1,20250628,1705,16,0,0,0,0,0,0,16,0,0,0,0,0,0,3,202506281705,35.52073503448066,133.602321,,,,,,,,,,,,
87,,7110130,1,20250628,1705,102,5,0,0,0,0,0,107,7,0,0,0,0,0,3,202506281705,35.41880503435098,133.370183,,,,,,,,,,,,
87,,7110220,1,20250628,1705,10,0,0,0,0,0,0,13,1,0,0,0,0,0,3,202506281705,35.19265103405972,134.203535,,,,,,,,,,,,
87,,7310050,1,20250628,1705,12,0,0,0,0,0,0,9,0,0,0,0,0,0,3,202506281705,35.52642103448786,134.014803,,,,,,,,,,,,
87,,7310070,1,20250628,1705,24,0,0,0,0,0,0,25,1,0,0,0,0,0,3,202506281705,35.51442503447265,134.020507,,,,,,,,,,,,
87,,7310080,1,20250628,1705,91,2,0,0,0,0,0,58,2,0,0,0,0,0,3,202506281705,35.50773503446417,133.951629,,,,,,,,,,,,
87,,7310100,1,20250628,1705,24,0,0,0,0,0,0,10,1,0,0,0,0,0,3,202506281705,35.508808034465545,133.493736,,,,,,,,,,,,
87,,7310130,1,20250628,1705,,,,0,0,0,1,,,,0,0,0,1,3,202506281705,35.419582034351976,134.259336,,,,,,,,,,,,
87,,7310190,1,20250628,1705,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,202506281705,35.48752003443851,134.19798,,,,,,,,,,,,
87,,7310200,1,20250628,1705,71,2,0,0,0,0,0,46,0,0,0,0,0,0,3,202506281705,35.56082603453137,134.284636,,,,,,,,,,,,
87,,7310210,1,20250628,1705,64,2,0,0,0,0,0,86,5,0,0,0,0,0,3,202506281705,35.50841503446504,133.518074,,,,,,,,,,,,
87,,7310220,1,20250628,1705,53,2,0,0,0,0,0,54,0,0,0,0,0,0,3,202506281705,35.527027804488625,134.13269444,,,,,,,,,,,,
87,,7310230,1,20250628,1705,77,2,0,0,0,0,0,37,4,0,0,0,0,0,3,202506281705,35.51102780446835,134.20186111,,,,,,,,,,,,
87,,7310240,1,20250628,1705,,,,0,0,0,1,,,,0,0,0,1,3,202506281705,35.397000034323106,134.20377777,,,,,,,,,,,,
87,,7310250,1,20250628,1705,24,2,0,0,0,0,0,16,0,0,0,0,0,0,3,202506281705,35.21870003409352,134.3247,,,,,,,,,,,,
87,,7310610,1,20250628,1705,73,6,0,0,0,0,0,0,1,0,0,0,0,0,3,202506281705,35.49457003444746,134.1603,,,,,,,,,,,,
87,,7310620,1,20250628,1705,71,1,0,0,0,0,0,48,4,0,0,0,0,0,3,202506281705,35.50153003445631,134.0804,,,,,,,,,,,,
87,,7310630,1,20250628,1705,66,0,0,0,0,0,0,52,4,0,0,0,0,0,3,202506281705,35.49990003445423,134.0626,,,,,,,,,,,,
87,,7310640,1,20250628,1705,68,1,0,0,0,0,0,61,3,0,0,0,0,0,3,202506281705,35.50860003446527,134.0108,,,,,,,,,,,,
87,,7360010,1,20250628,1705,26,0,0,0,0,0,0,11,2,0,0,0,0,0,1,202506281705,35.032454033850506,134.387568,,,,,,,,,,,,
87,,7360020,1,20250628,1705,33,1,0,0,0,0,0,22,2,0,0,0,0,0,1,202506281705,35.07606803390771,134.346092,,,,,,,,,,,,
87,,7360030,1,20250628,1705,0,0,0,0,0,0,0,122,13,0,0,0,0,0,3,202506281705,35.238191034118756,134.286932,,,,,,,,,,,,
87,,7360040,1,20250628,1705,24,1,0,0,0,0,0,0,0,0,0,0,0,0,3,202506281705,35.284722034178905,134.227547,,,,,,,,,,,,
87,,7360060,1,20250628,1705,36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,202506281705,35.35362703426754,134.194581,,,,,,,,,,,,
87,,7360070,1,20250628,1705,0,0,0,0,0,0,0,43,3,0,0,0,0,0,1,202506281705,35.37911003430021,134.204798,,,,,,,,,,,,
87,,7360080,1,20250628,1705,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202506281705,35.39104203431548,134.20339,,,,,,,,,,,,
87,,7360090,1,20250628,1705,46,3,0,0,0,0,0,47,1,0,0,0,0,0,1,202506281705,35.40772703433684,134.206955,,,,,,,,,,,,
87,,7360100,1,20250628,1705,57,3,0,0,0,0,0,49,4,0,0,0,0,0,1,202506281705,35.45862225662396,134.193141666666,,,,,,,,,,,,
87,,7360110,1,20250628,1705,28,1,0,0,0,0,0,29,1,0,0,0,0,0,1,202506281705,35.113784033957025,134.331458,,,,,,,,,,,,
88,,8110010,1,20250628,1705,22,1,0,0,0,0,0,24,5,0,0,0,0,0,3,202506281705,34.2207184500313,134.411544799804,,,,,,,,,,,,
88,,8110020,1,20250628,1705,141,4,0,0,0,0,0,121,6,0,0,0,0,0,3,202506281705,34.30277465209332,134.084776639938,,,,,,,,,,,,
88,,8110030,1,20250628,1705,101,2,0,0,0,0,0,98,4,0,0,0,0,0,3,202506281705,34.29671450737887,133.946895003318,,,,,,,,,,,,
88,,8110040,1,20250628,1705,52,1,0,0,0,0,0,48,3,0,0,0,0,0,3,202506281705,34.17417938671837,133.715951442718,,,,,,,,,,,,
88,,8110050,1,20250628,1705,49,2,0,0,0,0,0,53,2,0,0,0,0,0,3,202506281705,33.91236267641698,133.20324182510302,,,,,,,,,,,,
88,,8110060,1,20250628,1705,58,1,3,0,0,0,0,28,1,0,0,0,0,0,3,202506281705,33.82431235182997,132.984384298324,,,,,,,,,,,,
88,,8110070,1,20250628,1705,75,4,0,0,0,0,0,77,4,0,0,0,0,0,3,202506281705,34.28544169692582,134.00050163269,,,,,,,,,,,,
88,,8110080,1,20250628,1705,9,1,0,0,0,0,0,19,1,0,0,0,0,0,3,202506281705,34.10608825909625,133.799223303794,,,,,,,,,,,,
88,,8110090,1,20250628,1705,57,4,0,0,0,0,0,47,2,0,0,0,0,0,3,202506281705,34.028957826825085,133.828164339065,,,,,,,,,,,,
88,,8110100,1,20250628,1705,18,1,0,0,0,0,0,11,2,0,0,0,0,0,3,202506281705,33.950764901704936,133.764853477478,,,,,,,,,,,,
88,,8110110,1,20250628,1705,24,4,0,0,0,1,0,30,2,0,0,0,0,0,3,202506281705,33.58909346194513,133.626092746853,,,,,,,,,,,,
88,,8110115,1,20250628,1705,53,7,0,0,0,0,0,40,1,0,0,0,0,0,3,202506281705,33.548205918990114,133.451582193374,,,,,,,,,,,,
88,,8110120,1,20250628,1705,58,1,0,0,0,0,0,45,4,0,0,0,0,0,3,202506281705,33.543133969132924,133.402808904647,,,,,,,,,,,,
88,,8110130,1,20250628,1705,31,0,0,0,0,0,0,55,3,1,0,0,0,0,3,202506281705,33.7476978963593,132.791587114334,,,,,,,,,,,,
88,,8110131,1,20250628,1705,27,2,0,0,0,0,0,30,0,0,0,0,0,0,3,202506281705,33.793408870729856,134.592427611351,,,,,,,,,,,,
88,,8110140,1,20250628,1705,26,1,0,0,0,0,0,30,1,0,0,0,0,0,3,202506281705,33.63466659400443,134.369745254516,,,,,,,,,,,,
88,,8110142,1,20250628,1705,27,0,0,0,0,0,0,16,1,0,0,0,0,0,3,202506281705,33.74774819013548,134.53964678124,,,,,,,,,,,,
88,,8110150,1,20250628,1705,17,1,0,0,0,0,0,4,1,0,0,0,0,0,3,202506281705,33.54318503179848,134.2936,,,,,,,,,,,,
88,,8110151,1,20250628,1705,22,0,0,0,0,0,0,31,0,0,0,0,0,0,3,202506281705,33.42133103162269,134.025327,,,,,,,,,,,,
88,,8110160,1,20250628,1705,22,1,0,0,0,0,0,34,1,0,0,0,0,0,3,202506281705,33.53924497073882,133.738444460766,,,,,,,,,,,,
88,,8110161,1,20250628,1705,48,2,0,0,0,0,0,43,0,0,0,0,0,0,3,202506281705,33.520916544031145,133.780702650547,,,,,,,,,,,,
88,,8110162,1,20250628,1705,48,4,0,0,0,0,0,46,0,0,0,0,0,0,3,202506281705,33.550342371512876,133.740176352243,,,,,,,,,,,,
88,,8110163,1,20250628,1705,64,5,0,0,0,0,0,56,0,0,0,0,0,0,3,202506281705,33.55352220956595,133.721816021769,,,,,,,,,,,,
88,,8110164,1,20250628,1705,15,1,0,0,0,0,0,12,2,0,0,0,0,0,3,202506281705,33.57127484589016,133.574287891387,,,,,,,,,,,,
88,,8110165,1,20250628,1705,97,6,0,0,0,0,0,54,1,0,0,0,0,0,3,202506281705,33.56026408468244,133.633757829666,,,,,,,,,,,,
88,,8110166,1,20250628,1705,83,3,0,0,0,0,0,67,4,0,0,0,0,0,3,202506281705,33.540965031795295,133.601005,,,,,,,,,,,,
