地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,count,color,上り・交通量,下り・交通量,交通量
81,02,1110010,1,20260207,5998,1737,0,0,0,0,0,5189,2294,0,0,0,0,0,3,41.93108757020422,140.6421045,,,,,,,,,,,,,205,red,7735,7483,15218
81,02,1110020,1,20260207,2032,458,0,0,0,0,0,1929,420,0,0,0,0,0,3,42.1540981903046,140.4840606,,,,,,,,,,,,,205,red,2490,2349,4839
81,03,1110030,1,20260207,374,51,0,0,0,0,0,361,62,0,0,0,0,0,3,42.672714040509845,140.377502,,,,,,,,,,,,,205,red,425,423,848
81,03,1110050,1,20260207,2410,340,0,0,0,0,0,2912,435,0,0,0,0,0,3,43.121255040655214,140.735792,,,,,,,,,,,,,205,red,2750,3347,6097
81,03,1110060,1,20260207,3972,286,0,0,0,0,0,3812,335,0,0,0,0,0,3,43.19868804067728,140.862496,,,,,,,,,,,,,205,red,4258,4147,8405
81,03,1110080,1,20260207,6959,551,0,0,0,0,0,7863,599,0,0,0,0,0,3,43.153022040664396,141.118728,,,,,,,,,,,,,205,red,7510,8462,15972
81,01,1110090,1,20260207,4942,2538,0,0,0,0,0,6630,4330,0,0,0,0,0,3,43.08364407064419,141.3496424,,,,,,,,,,,,,205,red,7480,10960,18440
81,02,1110100,1,20260207,7263,913,0,0,0,0,0,7125,746,0,0,0,0,0,3,41.855509180168546,140.7378302,,,,,,,,,,,,,205,red,8176,7871,16047
81,02,1110110,1,20260207,4343,753,1,0,0,0,4,3733,744,26,0,0,0,4,3,41.912032390195286,140.6922376,,,,,,,,,,,,,205,red,5097,4503,9600
81,03,1110120,1,20260207,146,34,20,0,0,0,0,140,19,27,0,0,0,0,3,42.65674504050413,140.412444,,,,,,,,,,,,,205,red,200,186,386
81,01,1110130,1,20260207,6631,353,0,0,0,0,0,6814,469,0,0,0,0,0,3,43.18473404067338,141.721783,,,,,,,,,,,,,205,red,6984,7283,14267
81,01,1110140,1,20260207,2599,599,0,0,0,0,0,2684,373,0,0,0,0,0,3,43.351557040718205,141.866096,,,,,,,,,,,,,205,red,3198,3057,6255
81,04,1110150,1,20260207,4045,660,0,0,0,0,0,4566,789,0,0,0,0,0,3,43.72677055080375,142.2114419,,,,,,,,,,,,,205,red,4705,5355,10060
81,04,1110160,1,20260207,6257,1007,62,0,0,0,0,6167,808,765,0,0,76,0,3,43.79829651081764,142.3338032,,,,,,,,,,,,,205,red,7326,7740,15066
81,01,1110170,1,20260207,0,0,0,0,0,205,0,0,0,0,0,0,205,0,3,42.95409804060455,141.495931,,,,,,,,,,,,,205,red,0,0,0
81,05,1110180,1,20260207,8728,853,0,0,0,0,0,8828,753,0,0,0,0,0,3,42.619514790490626,141.5539538,,,,,,,,,,,,,205,red,9581,9581,19162
81,05,1110190,1,20260207,5007,628,1850,0,0,124,0,6435,771,32,0,0,0,0,3,42.38500765040089,141.0774629,,,,,,,,,,,,,205,red,7485,7238,14723
81,05,1110200,1,20260207,0,0,0,0,0,205,0,1114,0,0,0,0,0,0,3,42.60033645048358,140.6268309,,,,,,,,,,,,,205,red,0,1114,1114
81,05,1110210,1,20260207,,,,0,0,0,205,,,,0,0,0,205,3,42.5365891004598,140.7745375,,,,,,,,,,,,,205,red,0,0,0
81,01,1110220,1,20260207,1745,229,0,0,0,0,0,1979,233,0,0,0,0,0,3,43.53094035076174,142.1739006,,,,,,,,,,,,,205,red,1974,2212,4186
81,04,1110230,1,20260207,2513,304,0,0,0,0,0,3194,329,0,0,0,0,0,3,43.34512772071654,142.3775876,,,,,,,,,,,,,205,red,2817,3523,6340
81,04,1110240,1,20260207,0,0,817,0,0,205,0,0,0,924,0,0,205,0,3,43.16136634066676,142.5754595,,,,,,,,,,,,,205,red,817,924,1741
