地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー,count,color,上り・交通量,下り・交通量,交通量
82,,2110010,1,20250524,5026,579,0,0,0,0,0,5238,799,0,0,0,0,0,3,37.110573456365614,140.1455465,,,,,,,,,,,,,254,red,5605,6037,11642
82,,2110017,1,20250524,17467,1361,0,0,0,0,0,18194,1615,0,0,0,0,0,3,37.37338104665072,140.3483355,,,,,,,,,,,,,254,red,18828,19809,38637
82,,2110019,1,20250524,17503,1789,0,0,0,0,0,17241,1991,0,0,0,0,0,3,37.46431627674753,140.3769493,,,,,,,,,,,,,254,red,19292,19232,38524
82,,2110021,1,20250524,12534,1235,121,0,0,0,0,12576,1603,55,0,0,0,0,3,37.606841446897334,140.4677635,,,,,,,,,,,,,254,red,13890,14234,28124
82,,2110030,1,20250524,16998,1064,0,0,0,0,0,17772,1338,0,0,0,0,0,3,37.73677529703182,140.4665726,,,,,,,,,,,,,254,red,18062,19110,37172
82,,2110040,1,20250524,10851,894,0,0,0,0,0,10985,1023,0,0,0,0,0,3,37.807813217104496,140.4958221,,,,,,,,,,,,,254,red,11745,12008,23753
82,,2110050,1,20250524,0,1,0,0,0,0,0,1710,1766,0,0,0,0,0,3,37.90940456720739,140.5830744,,,,,,,,,,,,,254,red,1,3476,3477
82,,2110060,1,20250524,16587,1619,0,0,0,0,0,16244,1639,0,0,0,0,0,3,38.085083367382396,140.8283056,,,,,,,,,,,,,254,red,18206,17883,36089
82,,2110061,1,20250524,2554,321,79,0,0,0,0,2228,329,136,0,0,0,0,3,39.627223038752774,141.927215,,,,,,,,,,,,,254,red,2954,2693,5647
82,,2110062,1,20250524,2758,299,17,0,0,0,0,2707,273,31,0,0,0,0,3,39.659168038777906,141.92916800000003,,,,,,,,,,,,,254,red,3074,3011,6085
82,,2110063,1,20250524,2208,274,14,0,0,0,0,2068,252,24,0,0,0,0,3,39.73009903883322,141.960134,,,,,,,,,,,,,254,red,2496,2344,4840
82,,2110065,1,20250524,19439,1287,0,0,0,0,0,18622,1218,0,0,0,0,0,3,38.15208336744814,140.8853611,,,,,,,,,,,,,254,red,20726,19840,40566
82,,2110080,1,20250524,15759,1539,0,0,0,0,0,20675,1675,0,0,0,0,0,3,38.34041670763003,140.8834444,,,,,,,,,,,,,254,red,17298,22350,39648
82,,2110081,1,20250524,8469,277,0,0,0,0,0,0,0,0,0,0,0,0,3,38.34313892763262,140.8802778,,,,,,,,,,,,,254,red,8746,0,8746
82,,2110090,1,20250524,8225,694,0,0,0,0,0,8794,674,0,0,0,0,0,3,38.60986114788262,140.9828333,,,,,,,,,,,,,254,red,8919,9468,18387
82,,2110091,1,20250524,3827,517,0,0,0,0,0,3601,533,0,0,0,0,0,3,38.83405559808584,141.0848056,,,,,,,,,,,,,254,red,4344,4134,8478
82,,2110092,1,20250524,5965,600,0,0,0,0,0,5437,553,0,0,0,0,0,3,38.930416038171224,141.117432,,,,,,,,,,,,,254,red,6565,5990,12555
82,,2110093,1,20250524,6006,606,62,0,0,0,0,5858,582,64,0,0,0,0,3,39.003777838235415,141.1133766,,,,,,,,,,,,,254,red,6674,6504,13178
82,,2110095,1,20250524,5050,355,0,0,0,0,0,5105,316,0,0,0,0,0,3,39.166645038375485,141.142913,,,,,,,,,,,,,254,red,5405,5421,10826
82,,2110101,1,20250524,4761,408,38,0,0,0,0,5149,517,33,0,0,0,0,3,39.41215882858007,141.1284828,,,,,,,,,,,,,254,red,5207,5699,10906
82,,2110102,1,20250524,7720,755,0,0,0,0,0,7778,668,0,0,0,0,0,3,39.486604768640554,141.1422372,,,,,,,,,,,,,254,red,8475,8446,16921
82,,2110103,1,20250524,14689,798,0,0,0,0,0,16157,459,0,0,0,0,0,3,39.668019038784855,141.15759,,,,,,,,,,,,,254,red,15487,16616,32103
82,,2110106,1,20250524,13168,617,0,0,0,0,0,13056,635,0,0,0,0,0,3,39.70774803881587,141.165401,,,,,,,,,,,,,254,red,13785,13691,27476
82,,2110110,1,20250524,11813,649,0,0,0,0,0,11482,541,0,0,0,0,0,3,39.7581439588549,141.134491,,,,,,,,,,,,,254,red,12462,12023,24485
82,,2110120,1,20250524,4218,560,0,0,0,0,0,4325,548,0,0,0,0,0,3,40.24861199921695,141.2695885,,,,,,,,,,,,,254,red,4778,4873,9651
82,,2110121,1,20250524,3035,457,0,0,0,0,0,2770,385,0,0,0,0,0,3,40.33516094927743,141.2985134,,,,,,,,,,,,,254,red,3492,3155,6647
82,,2110129,1,20250524,3146,238,4,0,0,0,0,3209,246,4,0,0,0,0,3,40.60877243946183,141.2602758,,,,,,,,,,,,,254,red,3388,3459,6847
82,,2110130,1,20250524,0,0,6468,0,0,254,0,0,0,6533,0,0,254,0,3,40.65837352949415,141.1919975,,,,,,,,,,,,,254,red,6468,6533,13001
82,,2110132,1,20250524,2552,174,816,0,0,0,0,4554,334,160,0,0,0,0,3,40.685015229511365,141.1707866,,,,,,,,,,,,,254,red,3542,5048,8590
82,,2110140,1,20250524,6868,712,32,0,0,0,0,6735,253,16,0,0,0,0,3,40.89885213964595,140.8603907,,,,,,,,,,,,,254,red,7612,7004,14616
82,,2110143,1,20250524,5722,750,0,0,0,0,0,5900,671,0,0,0,0,0,3,39.946858248998055,141.2168884,,,,,,,,,,,,,254,red,6472,6571,13043
82,,2110144,1,20250524,5626,1082,0,0,254,0,0,5709,709,0,0,254,0,0,3,40.83186565960448,141.1289549,,,,,,,,,,,,,254,red,6708,6418,13126
82,,2110150,1,20250524,6909,460,0,0,0,0,0,7167,560,3,0,0,0,0,3,36.857960956084185,140.7891727,,,,,,,,,,,,,254,red,7369,7730,15099
82,,2110160,1,20250524,15097,1047,19,0,0,0,0,15333,1249,23,0,0,0,0,3,36.92281008615712,140.8423448,,,,,,,,,,,,,254,red,16163,16605,32768
82,,2110161,1,20250524,8661,561,0,0,0,0,0,8574,671,0,0,0,0,0,3,37.03306503628002,140.911907,,,,,,,,,,,,,254,red,9222,9245,18467
